,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
285,11/25/2018,LAL,ORL,1538.38171,1409.429001,104,108,111,110,108,0,0,0
286,11/25/2018,DET,PHO,1498.345353,1310.895759,118,107,112.4,112.4,107,0,0,1
287,11/25/2018,ATL,CHA,1309.486966,1529.240181,124,123,101,111.2,123,0,0,1
288,11/25/2018,MEM,NYK,1481.901908,1388.58051,98,103,104.2,117.2,103,0,0,0
289,11/25/2018,BKN,PHI,1452.934756,1566.357347,125,127,110.6,117.4,127,0,0,0
290,11/25/2018,TOR,MIA,1636.872945,1448.343467,125,115,116,100.6,115,0,0,1
291,11/25/2018,SAC,UTA,1466.437458,1535.473545,112,133,113.6,98.4,133,1,0,0
292,11/25/2018,POR,LAC,1581.570143,1572.782018,100,104,106,120,104,0,0,0
293,11/26/2018,CHA,MIL,1523.287501,1632.750722,110,107,118,123.8,107,1,0,1
294,11/26/2018,CLE,MIN,1456.853243,1504.663836,95,102,108,104.6,102,0,0,0
295,11/26/2018,WAS,HOU,1450.682543,1592.969634,135,131,113.8,116.8,131,0,0,1
296,11/26/2018,NOP,BOS,1562.953545,1544.294576,107,124,121.6,105,124,0,0,0
297,11/26/2018,CHI,SAS,1324.429591,1512.092499,107,108,100.6,114.6,108,0,0,0
298,11/26/2018,UTA,IND,1554.396268,1549.40246,88,121,103.6,105.2,121,1,0,0
